,date,text,hashtags
0,Sun Mar 18 13:45:13 +0000 2018,Au lieu d'expulser des diplomates Russes il eut été plus concrets et plus pragmatiques de s'occuper des ressortissants info pakistanais présumés responsables de milliers de viols d'enfants à #Telford Mme May a opté pour la facilité face à une monstruosité ethnique,
1,Sun Mar 18 15:47:19 +0000 2018,"Selon l’ex Ambassadeur anglais en Ouzbékistan, le ''Novitchok'' serait ''une arnaque'' comme les ''armes de destruction massives'' irakiennes. Le Royaume U. refuse tt échantillon à l’OIAC Organisation Prévention Armes Chimiques ) de La Haye. #SKRIPAL 
https://t.co/8yArlM6WGb",
2,Sun Mar 18 11:48:32 +0000 2018,"@PhilipJ37 @EugenieBastie Tellement vrai.
S'occuper de Trump et de Poutine c'est tellement plus https://t.co/dbZn0w62hH lieu d'essayer d'enlever la paille dans l'œil de ton voisin,enlève d'abord la poutre dans ton oeil.",
3,Sun Mar 18 15:41:24 +0000 2018,"BOMBE: Le capitaine Barril, ancien commandant du GIGN : « J’ai la preuve de qui a tué Litvinenko – Ce n’est pas la Russie » https://t.co/YJVlLJeW03 via @avic_sy",
4,Sun Mar 18 14:32:39 +0000 2018,"Dans la même semaine #Macron nomme le très ambigu sur l'islamisme #Bellatar au #ConseilDesVilles et boycotte le stand Russe au #salondulivre2018, c'est à dire des écrivains comme Tolstoï ou Dostoïevski
Ce n'est vraiment pas tout net dans son cerveau","['Macron', 'Bellatar', 'ConseilDesVilles']"
5,Sat Mar 17 18:07:58 +0000 2018," Une belle analyse concernant Poutine ..
Nos politicards et surtout les journalistes imbus d’eux même feraient bien de s’inspirer de ces propos..
Mais j’oubliais : 
Il est vrai que seulement les médias ont connaissance de la vérité.
https://t.co/dFV7tOTTbj via @Le_Figaro",
6,Sun Mar 18 15:47:11 +0000 2018,Des irrégularités signalées lors de la présidentielle en Russie https://t.co/hbSjpLoJRD,
7,Sat Mar 17 16:05:27 +0000 2018,Être ami et être en couple avec quelqu'un ce sont 2 choses différentes. Quand vous êtes ami vous rencontré très peu de problème. Quand vous êtes en couple se sont les montagnes russes.,
8,Sun Mar 18 15:47:10 +0000 2018,Le contraire aurait été étonnant ... https://t.co/ejJ0g0zoYM,
9,Sun Mar 18 12:49:29 +0000 2018,Notre correspondante en #Russie @mandraud rapporte des bourrages d’urnes signalés en Tchétchénie et en Iakoutie https://t.co/RbJ3uXo1PJ,['Russie']
10,Sun Mar 18 15:47:06 +0000 2018,@mormach @cheyenne8304 Agent de poutine spoutnik RT traitre a la France,
11,Sun Mar 18 15:46:00 +0000 2018,"""Si le combat est inévitable, il faut frapper le premier"" : Poutine, l'incontournable patron de la Russie https://t.co/3coHAKc3hn par @thblt_marchand #AFP https://t.co/wxhjjCfxVY",
12,Sun Mar 18 15:30:15 +0000 2018,Les images surréalistes partagées par l'opposant n°1 à Poutine sur les accusations de fraude électorale https://t.co/2dV6BYZr6Y,
13,Fri Mar 16 21:27:48 +0000 2018,"Quand un média Russe se fiche ouvertement du petit Macron et de sa com' ubuesque digne de celle de ... Staline !  :
""L'odyssée d'«Emmanuel le majestueux» en Inde vue par Paris Match : «Même les chèvres s'inclinent sur son passage»""

https://t.co/73QWPPcEtH",
14,Sun Mar 18 15:00:11 +0000 2018,"Gérard Depardieu a voté pour la présidentielle russe à Paris #Peopolitique 
https://t.co/B6vbmzjjxA",['Peopolitique']
16,Sun Mar 18 15:46:35 +0000 2018,"POUTINE   4 ème  MANDAT    ...............  DICTATEUR
MERKEL     4 ème  MANDAT    ..............   DEMOCRATE
.
CHERCHEZ   L ERREUR https://t.co/I4GuUNjrR7",
