word,polarity
à bas prix,positive
à couper le souffle,positive
à croissance rapide,positive
à être vu,positive
à juste titre,positive
à la matière,positive
abondance,positive
abondante,positive
abonde,positive
abonder,positive
abordable,positive
abri,positive
absolue,positive
absolument,positive
absorbé,positive
absorption,positive
accélération,positive
acceptation,positive
accepter,positive
accessible,positive
acclamation,positive
accommodant,positive
accomplie,positive
accomplir,positive
accord,positive
accrocheur,positive
accroître les compétences,positive
accrue,positive
accueillir,positive
achever,positive
acquise,positive
actions,positive
adaptation,positive
adaptative,positive
adapté,positive
adaptee a,positive
admirablement,positive
admirant,positive
admirateur,positive
admiratif,positive
admis,positive
admissibilite,positive
adorant,positive
adoration,positive
adoré,positive
adroit,positive
adroitement,positive
adulateur,positive
aduler,positive
à-être connu,positive
affabilité,positive
affable,positive
affaire,positive
affectueuse,positive
affectueusement,positive
affiner,positive
affirmation de soi,positive
affirmer,positive
agilement,positive
agréabilité,positive
agreable,positive
agréable,positive
agreablement,positive
agréablement,positive
aide,positive
aider,positive
aidez-moi,positive
aimé,positive
ajout,positive
ajouter,positive
alerte,positive
aligné,positive
alimentaire,positive
alimentation,positive
alléchant,positive
allègre,positive
altruisme,positive
altruiste,positive
amabilité,positive
ambitieusement,positive
ambitieux,positive
amélioration,positive
améliorations,positive
ameliore,positive
améliore,positive
améliorer,positive
aménagement,positive
ami,positive
amiable,positive
amicalement,positive
amitié,positive
amour,positive
amoureux,positive
amours,positive
amusant,positive
amusé,positive
angélique,positive
animation,positive
animé,positive
apaisante,positive
apothéose,positive
apparentés,positive
appartenance,positive
appartenir,positive
appel,positive
appréciateur,positive
appréciative,positive
apprécie,positive
apprécié,positive
apprecierez,positive
apprendre,positive
apprentissage,positive
approbation,positive
approuvant,positive
approuve,positive
approuvent,positive
approuver,positive
ardemment,positive
ardent,positive
assez,positive
assouplies,positive
assurément,positive
assurer,positive
astronomie,positive
astucieusement,positive
atout,positive
atouts,positive
attachant,positive
atteignable,positive
atteindre,positive
attentif,positive
attirés,positive
attitude positive,positive
attribué,positive
aubaine,positive
audace,positive
audacieusement,positive
au-delà,positive
au-delà-fabuleux,positive
authenticité,positive
authentique,positive
auto-bonte,positive
autodétermination,positive
auto-enhacement,positive
autonome,positive
autonomie,positive
autonomisation,positive
autorisé,positive
autorite,positive
avancee,positive
avancée,positive
avantage,positive
avantages,positive
avantageusement,positive
avantageux,positive
avec ténacité,positive
avenir,positive
aventure,positive
aventureux,positive
aveuglante,positive
avidement,positive
avidité,positive
avocat,positive
avocats,positive
badin,positive
baiser,positive
balistique,positive
bas prix,positive
béatement,positive
béatifier,positive
béatitude,positive
beau,positive
beauté,positive
belle,positive
benediction,positive
bénéficiaire,positive
bénéfique,positive
béni,positive
bien,positive
bien connu,positive
bien considéré,positive
bien éduquée,positive
bien élevé,positive
bien établi,positive
