date,text,hashtags,sentiment,words
Sun Mar 18 13:45:13 +0000 2018,Au lieu d'expulser des diplomates Russes il eut été plus concrets et plus pragmatiques de s'occuper des ressortissants info pakistanais présumés responsables de milliers de viols d'enfants à #Telford Mme May a opté pour la facilité face à une monstruosité ethnique,NO HASHTAG,positif,"lieu,expulser,diplomate,russe,plus,concret,plus,pragmatique,si,occuper,ressortissant,info,pakistanais,présumer,responsable,millier,viol,enfant,telford,mme,may,avoir,opter,faciliter,face,monstruosité,ethnique"
Sun Mar 18 15:47:19 +0000 2018,"Selon l’ex Ambassadeur anglais en Ouzbékistan, le ''Novitchok'' serait ''une arnaque'' comme les ''armes de destruction massives'' irakiennes. Le Royaume U. refuse tt échantillon à l’OIAC Organisation Prévention Armes Chimiques ) de La Haye. #SKRIPAL 
https://t.co/8yArlM6WGb",NO HASHTAG,positif,"selon,lex,ambassadeur,anglais,ouzbékistan,``,novitchok,'',``,arnaqu,'',comme,``,arme,destruction,massif,'',irakien,royaume,u,refuser,tt,échantillon,loiac,organisation,prévention,arme,chimique,haye,skripal"
Sun Mar 18 11:48:32 +0000 2018,"@PhilipJ37 @EugenieBastie Tellement vrai.
S'occuper de Trump et de Poutine c'est tellement plus https://t.co/dbZn0w62hH lieu d'essayer d'enlever la paille dans l'œil de ton voisin,enlève d'abord la poutre dans ton oeil.",NO HASHTAG,positif,"philipj37,eugeniebastie,tellement,vrai,si,occuper,trump,poutin,être,tellement,plus,lieu,essayer,enlever,paille,œil,voisinenlève,abord,poutr,oeil"
Sun Mar 18 15:41:24 +0000 2018,"BOMBE: Le capitaine Barril, ancien commandant du GIGN : « J’ai la preuve de qui a tué Litvinenko – Ce n’est pas la Russie » https://t.co/YJVlLJeW03 via @avic_sy",NO HASHTAG,neutre,"bombe,capitaine,barril,ancien,commander,gign,«,jai,preuve,avoir,tuer,litvinenko,–,nest,russie,»,via,avic_sy"
Sun Mar 18 14:32:39 +0000 2018,"Dans la même semaine #Macron nomme le très ambigu sur l'islamisme #Bellatar au #ConseilDesVilles et boycotte le stand Russe au #salondulivre2018, c'est à dire des écrivains comme Tolstoï ou Dostoïevski
Ce n'est vraiment pas tout net dans son cerveau","Macron, Bellatar, ConseilDesVilles",positif,"semaine,macron,nommer,très,ambigu,islamisme,bellatar,conseildesviller,boycotter,stand,russe,salondulivre2018,être,dire,écrivain,comme,tolstoï,dostoïevski,être,vraiment,tout,net,cerveau"
Sat Mar 17 18:07:58 +0000 2018," Une belle analyse concernant Poutine ..
Nos politicards et surtout les journalistes imbus d’eux même feraient bien de s’inspirer de ces propos..
Mais j’oubliais : 
Il est vrai que seulement les médias ont connaissance de la vérité.
https://t.co/dFV7tOTTbj via @Le_Figaro",NO HASHTAG,positif,"bel,analyse,concerner,poutin,politicard,surtout,journaliste,imbu,deux,faire,bien,sinspirer,propos,joubliais,vrai,seulement,média,connaissance,vérité,via,le_figaro"
Sun Mar 18 15:47:11 +0000 2018,Des irrégularités signalées lors de la présidentielle en Russie https://t.co/hbSjpLoJRD,NO HASHTAG,neutre,"irrégularité,signaler,lors,présidentielle,russie"
Sat Mar 17 16:05:27 +0000 2018,Être ami et être en couple avec quelqu'un ce sont 2 choses différentes. Quand vous êtes ami vous rencontré très peu de problème. Quand vous êtes en couple se sont les montagnes russes.,NO HASHTAG,positif,"être,ami,être,coupler,quelqu'un,2,chose,différent,quand,ami,rencontrer,très,peu,problème,quand,couple,montagne,russe"
Sun Mar 18 15:47:10 +0000 2018,Le contraire aurait été étonnant ... https://t.co/ejJ0g0zoYM,NO HASHTAG,positif,"contraire,étonnant"
Sun Mar 18 12:49:29 +0000 2018,Notre correspondante en #Russie @mandraud rapporte des bourrages d’urnes signalés en Tchétchénie et en Iakoutie https://t.co/RbJ3uXo1PJ,Russie,neutre,"correspondant,russie,mandraud,rapporter,bourrage,durne,signalé,tchétchénie,iakouti"
Sun Mar 18 15:47:06 +0000 2018,@mormach @cheyenne8304 Agent de poutine spoutnik RT traitre a la France,NO HASHTAG,neutre,"mormach,cheyenne8304,agent,poutine,spoutnik,rt,traitre,avoir,france"
Sun Mar 18 15:46:00 +0000 2018,"""Si le combat est inévitable, il faut frapper le premier"" : Poutine, l'incontournable patron de la Russie https://t.co/3coHAKc3hn par @thblt_marchand #AFP https://t.co/wxhjjCfxVY",NO HASHTAG,neutre,"si,combat,inévitable,falloir,frapper,premier,poutine,incontournable,patron,russie,thblt_marchand,afp"
Sun Mar 18 15:30:15 +0000 2018,Les images surréalistes partagées par l'opposant n°1 à Poutine sur les accusations de fraude électorale https://t.co/2dV6BYZr6Y,NO HASHTAG,neutre,"image,surréaliste,partagée,opposer,°,1,poutine,accusation,frauder,électoral"
Fri Mar 16 21:27:48 +0000 2018,"Quand un média Russe se fiche ouvertement du petit Macron et de sa com' ubuesque digne de celle de ... Staline !  :
""L'odyssée d'«Emmanuel le majestueux» en Inde vue par Paris Match : «Même les chèvres s'inclinent sur son passage»""

https://t.co/73QWPPcEtH",NO HASHTAG,neutre,"quand,média,russe,fich,ouvertemer,petit,macron,com,',ubuesque,digne,celui,staline,odysser,',«,emmanuel,majestueux,»,ind,vue,pari,match,«,chèvre,si,incliner,passage,»"
Sun Mar 18 15:00:11 +0000 2018,"Gérard Depardieu a voté pour la présidentielle russe à Paris #Peopolitique 
https://t.co/B6vbmzjjxA",Peopolitique,neutre,"gérard,depardieu,avoir,voter,présidentielle,russe,pari,peopolitiqu"
Sun Mar 18 15:46:35 +0000 2018,"POUTINE   4 ème  MANDAT    ...............  DICTATEUR
MERKEL     4 ème  MANDAT    ..............   DEMOCRATE
.
CHERCHEZ   L ERREUR https://t.co/I4GuUNjrR7",NO HASHTAG,positif,"poutine,4,ème,mandat,dictateur,merkel,4,ème,mandat,democrate,chercher,erreur"
Sun Mar 18 15:45:11 +0000 2018,Vladimir Poutine. Sa longévité au pouvoir encore loin des records mondiaux - Monde - https://t.co/3Ng4V4PyXd | @scoopit https://t.co/1NzAu9rg2f,NO HASHTAG,positif,"vladimir,poutine,longévité,pouvoir,encore,loin,record,mondial,mond,|,scoopit"
Sun Mar 18 12:57:42 +0000 2018,"Avant d'enlever la paille de l'œil de ton voisin, retire la poutre qui est dans le tien Et en France ce n'est pas mieux, une presse aux ordres, une chaine publique avec un militant #LREM à la direction, une démocratie bafouée, une réforme de la constitution à venir dangereuse etc https://t.co/d1DDmIAecV",NO HASHTAG,positif,"avant,enlever,paille,œil,voisin,retirer,poutre,tien,france,être,mieux,presse,ordre,chaine,public,militer,lrem,direction,démocratie,bafouer,réformer,constitution,venir,dangereux,etc"
Sat Mar 17 20:41:45 +0000 2018,"Russie : 50 lois #Poutine qui ont restreint les libertés depuis 2012.
https://t.co/UlAUmCCn5z https://t.co/ZaQgDvLiH3",Poutine,positif,"russie,50,loi,poutine,restreindre,liberté,depuis,2012"
Sun Mar 18 09:26:58 +0000 2018,"@EugenieBastie Les médias britanniques aussi lâches et désinformateurs que les nôtres ! Plus facile de s’exciter contre Poutine, en ignorant les infamies qui se passent sur son propre sol !!",NO HASHTAG,positif,"eugeniebastie,média,britannique,aussi,lâche,désinformateur,nôtre,plus,facile,sexciter,contrer,poutine,ignorer,infamie,passer,propre,sol"
Sun Mar 18 15:46:59 +0000 2018,Le Sénat étatsunien menace la Russie de sanctions en cas de vente de S-400 à des pays étrangers (FNA) https://t.co/MzAhVnkFrM via @avic_sy,NO HASHTAG,neutre,"sénat,étatsunien,menacer,russie,sanction,cas,vente,s400,pays,étranger,fna,via,avic_sy"
Sat Mar 17 13:45:51 +0000 2018,"Quand Poutine est élu pour la quatrième fois c'est de la dictature,  quand Merkel est élue pour la quatrième fois c'est de la démocratie. https://t.co/aAriPTIV6A",NO HASHTAG,positif,"quand,poutine,élu,quatrième,fois,être,dictature,quand,merkel,élire,quatrième,fois,être,démocratie"
Sun Mar 18 15:46:56 +0000 2018,@AkimotoHinato @maubec18 La réclamation russe a été ignorée. Je vois pas en vertu de quoi la leur aboutirait.,NO HASHTAG,positif,"akimotohinato,maubec18,réclamation,russe,avoir,ignorer,voir,vertu,quoi,aboutir"
Sun Mar 18 15:14:16 +0000 2018,Sont marrants tous ces Pro Poutine...pour rien au monde ils iraient vivre en Russie...ils kiffent tout ce qui est US et rèvent de faire du tourisme en US .,NO HASHTAG,positif,"marrant,tou,pro,poutinepour,rien,monde,aller,vivre,russieils,kiffer,tout,us,rèvent,faire,tourisme,u"
Sun Mar 18 15:14:12 +0000 2018,"Louis Aliot, observateur de la présidentielle russe à Moscou.
Le FN montre son attachement à la Sainte Russie, partenaire et même membre indissociable de l'Europe des Nations, qui se construira après l'inéluctable écroulement de l'UE mondialiste.
https://t.co/sIyIBPqVZG",NO HASHTAG,positif,"louis,aliot,observateur,présidentiel,russe,moscou,fn,montr,attachement,saint,russie,partenaire,membre,indissociable,europe,nation,construire,après,inéluctable,écroulemer,ue,mondialiste"
Sun Mar 18 15:46:46 +0000 2018,Elections en Russie : paroles d'électeurs https://t.co/YbrX8fHF72,NO HASHTAG,neutre,"election,russie,parol,électeur"
Fri Mar 16 17:46:45 +0000 2018,"#Russie 

""#Poutine n'est pas notre adversaire. Je me souviens de l'intervention des #Russes en #Syrie pour que les Chrétiens d'Orient soient sauvés."" @ivanrioufol

#24hPujadas https://t.co/6i6BEqTaSq","Russie, Poutine, Russes, Syrie",positif,"russie,poutine,être,adversair,souvenir,intervention,russe,syrie,chrétien,orient,sauver,ivanrioufol,24hpujadas"
Sun Mar 18 15:33:44 +0000 2018,#GérardDepardieu a voté pour la présidentielle russe à #Paris https://t.co/H3IC4uhJUh via @Figaro_Culture https://t.co/eOjBrbcng6,"GérardDepardieu, Paris",neutre,"gérarddepardieu,avoir,voter,présidentielle,russe,pari,via,figaro_culture"
Sun Mar 18 15:46:39 +0000 2018,Comment Poutine a transformé la Russie en État KGB https://t.co/lrHLLJng4b,NO HASHTAG,positif,"comment,poutine,avoir,transformer,russie,état,kgb"
Sun Mar 18 15:46:38 +0000 2018,"Aux info,Des irrégularités signalées lors de la présidentielle en Russie: https://t.co/ztQMahAIjO",NO HASHTAG,neutre,"infoder,irrégularité,signaler,lors,présidentielle,russie"
Sun Mar 18 15:10:21 +0000 2018,"Daesh a repris #Afrin grâce à #Erdogan.
Qui mettra fin aux crimes de la Turquie? #Trump ou #Poutine??

#Turkey https://t.co/ap9ik4M5HK","Afrin, Erdogan, Trump, Poutine, Turkey",positif,"daesh,avoir,reprendre,afrin,grâce,erdogan,mettre,fin,crim,turquie,trump,poutin,turkey"
Sun Mar 18 08:33:34 +0000 2018,"#Erdogan : la ville syrienne d'#Afrin est «entièrement sous contrôle», les Kurdes ont «fui»
https://t.co/QXamKm6j1r https://t.co/GTaSQH2Ge8","Erdogan, Afrin",neutre,"erdogan,ville,syrien,afrin,«,entièrement,sou,contrôler,»,kurde,«,fuir,»"
Sun Mar 18 15:46:34 +0000 2018,"@TheRedFag @martinbrdn (après bon ya pas mal de positionnements qu'ont les camarades russes avec lesquels je suis pas en accord mais il reste mims, j'aime bien les moustaches) https://t.co/BRies9p9fb",NO HASHTAG,positif,"theredfag,martinbrdn,après,bon,ya,mal,positionnement,avoir,camarade,russe,lesquel,accord,rester,mim,aimer,bien,moustache"
